Bet created n 68 Nanterre,Le Portel 1642532400 basketball France LNB
Bet created n 69 New York Knicks,Minnesota Timberwolves 1642552200 basketball USA NBA
Bet created n 70 Golden State Warriors,Detroit Pistons 1642561200 basketball USA NBA
Bet created n 71 Motor City Cruise,College Park Skyhawks 1642550400 basketball USA NBA - G League
Bet created n 72 Sioux Falls Skyforce,South Bay Lakers 1642552200 basketball USA NBA - G League
Bet created n 73 Windy City Bulls,Raptors 905 1642554000 basketball USA NBA - G League
Bet created n 74 Salt Lake City Stars,Memphis Hustle 1642557600 basketball USA NBA - G League
Bet created n 75 Agua Caliente Clippers,Iowa Wolves 1642561200 basketball USA NBA - G League
Bet created n 76 Wisconsin Herd,Lakeland Magic 1642613400 basketball USA NBA - G League
12/01/202221:48:39 Bet created n 77 1642636800 basketball USA NBA Philadelphia 76ers,Orlando Magic
12/01/202221:48:40 Bet created n 79 1642638600 basketball USA NBA Atlanta Hawks,Minnesota Timberwolves
12/01/202221:48:39 Bet created n 78 1642636800 basketball USA NBA Washington Wizards,Brooklyn Nets
12/01/202221:48:40 Bet created n 80 1642638600 basketball USA NBA Boston Celtics,Charlotte Hornets
12/01/202221:48:40 Bet created n 81 1642638600 basketball USA NBA Miami Heat,Portland Trail Blazers
12/01/202221:48:40 Bet created n 83 1642640400 basketball USA NBA Milwaukee Bucks,Memphis Grizzlies
12/01/202221:48:40 Bet created n 82 1642640400 basketball USA NBA Chicago Bulls,Cleveland Cavaliers
12/01/202221:48:40 Bet created n 85 1642642200 basketball USA NBA San Antonio Spurs,Oklahoma City Thunder
12/01/202221:48:40 Bet created n 86 1642644000 basketball USA NBA Utah Jazz,Houston Rockets
12/01/202221:48:40 Bet created n 84 1642642200 basketball USA NBA Dallas Mavericks,Toronto Raptors
12/01/202221:48:40 Bet created n 87 1642647600 basketball USA NBA Denver Nuggets,Los Angeles Clippers
12/01/202221:48:40 Bet created n 89 1642649400 basketball USA NBA Los Angeles Lakers,Indiana Pacers
12/01/202221:48:40 Bet created n 88 1642647600 basketball USA NBA Sacramento Kings,Detroit Pistons
12/01/202221:48:46 Bet created n 90 1642636800 basketball USA NBA - G League Long Island Nets,Fort Wayne Mad Ants
12/01/202221:48:46 Bet created n 91 1642636800 basketball USA NBA - G League Westchester,Maine Celtics
12/01/202221:48:46 Bet created n 93 1642642200 basketball USA NBA - G League Rio Grande Valley Vipers,Austin Toros Spurs
12/01/202221:48:46 Bet created n 92 1642640400 basketball USA NBA - G League Oklahoma City Blue,Texas Legends
12/01/202221:48:46 Bet created n 94 1642644000 basketball USA NBA - G League Salt Lake City Stars,Memphis Hustle
15/01/2022 01:55:09 Bet created n 95 1642636800 basketball USA NBA Philadelphia 76ers,Orlando Magic
15/01/2022 01:55:09 Bet created n 96 1642636800 basketball USA NBA Washington Wizards,Brooklyn Nets
15/01/2022 01:55:09 Bet created n 97 1642638600 basketball USA NBA Atlanta Hawks,Minnesota Timberwolves
15/01/2022 01:55:09 Bet created n 98 1642638600 basketball USA NBA Boston Celtics,Charlotte Hornets
15/01/2022 01:55:09 Bet created n 99 1642638600 basketball USA NBA Miami Heat,Portland Trail Blazers
